site name,time,grid,diesel,solar
site1,0,TRUE,TRUE,TRUE
site1,1,TRUE,TRUE,TRUE
site1,2,TRUE,TRUE,TRUE
site1,3,TRUE,TRUE,TRUE
site1,4,TRUE,TRUE,TRUE
site1,5,TRUE,TRUE,TRUE
site1,6,TRUE,TRUE,TRUE
site1,7,TRUE,TRUE,TRUE
site1,8,TRUE,TRUE,TRUE
site1,9,TRUE,TRUE,TRUE
site1,10,TRUE,TRUE,TRUE
site1,11,TRUE,TRUE,TRUE
site1,12,TRUE,TRUE,TRUE
site1,13,TRUE,TRUE,TRUE
site1,14,TRUE,TRUE,TRUE
site1,15,TRUE,TRUE,TRUE
site1,16,TRUE,TRUE,TRUE
site1,17,TRUE,TRUE,TRUE
site1,18,TRUE,TRUE,TRUE
site1,19,TRUE,TRUE,TRUE
site1,20,TRUE,TRUE,TRUE
site1,21,TRUE,TRUE,TRUE
site1,22,TRUE,TRUE,TRUE
site1,23,TRUE,TRUE,TRUE
site1,24,TRUE,TRUE,TRUE
site1,25,TRUE,TRUE,TRUE
site1,26,TRUE,TRUE,TRUE
site1,27,TRUE,TRUE,TRUE
site1,28,TRUE,TRUE,TRUE
site1,29,TRUE,TRUE,TRUE
site1,30,TRUE,TRUE,TRUE
site1,31,TRUE,TRUE,TRUE
site1,32,TRUE,TRUE,TRUE
site1,33,TRUE,TRUE,TRUE
site1,34,TRUE,TRUE,TRUE
site1,35,TRUE,TRUE,TRUE
site1,36,TRUE,TRUE,TRUE
site1,37,TRUE,TRUE,TRUE
site1,38,TRUE,TRUE,TRUE
site1,39,TRUE,TRUE,TRUE
site1,40,TRUE,TRUE,TRUE
site1,41,TRUE,TRUE,TRUE
site1,42,TRUE,TRUE,TRUE
site1,43,TRUE,TRUE,TRUE
site1,44,TRUE,TRUE,TRUE
site1,45,TRUE,TRUE,TRUE
site1,46,TRUE,TRUE,TRUE
site1,47,TRUE,TRUE,TRUE
site1,48,TRUE,TRUE,TRUE
site1,49,TRUE,TRUE,TRUE
site1,50,TRUE,TRUE,TRUE
site1,51,TRUE,TRUE,TRUE
site1,52,TRUE,TRUE,TRUE
