index,Solar Zenith Angle,Clearsky DHI,Clearsky DNI,Clearsky GHI,Relative Humidity,DHI,DNI,GHI,Energy Output(kWh)
2020-01-01 00:00:00,141.91,0.0,0.0,0.0,51.79,0.0,0.0,0.0,0.0
2020-01-01 00:15:00,137.82119149112745,0.0,0.0,0.0,52.73917915723982,0.0,0.0,0.0,0.0
2020-01-01 00:30:00,134.11359397633996,0.0,0.0,0.0,53.59031108597285,0.0,0.0,0.0,0.0
2020-01-01 00:45:00,130.8866994733824,0.0,0.0,0.0,54.31128747171945,0.0,0.0,0.0,0.0
2020-01-01 01:00:00,128.24,0.0,0.0,0.0,54.87,0.0,0.0,0.0,0.0
2020-01-01 01:15:00,126.31311262721789,0.0,0.0,0.0,55.27585199382825,0.0,0.0,0.0,0.0
2020-01-01 01:30:00,124.83840495859423,0.0,0.0,0.0,55.597060822154354,0.0,0.0,0.0,0.0
2020-01-01 01:45:00,123.30449481067346,0.0,0.0,0.0,55.88973923940329,0.0,0.0,0.0,0.0
2020-01-01 02:00:00,121.2,0.0,0.0,0.0,56.21,0.0,0.0,0.0,0.0
2020-01-01 02:15:00,117.54207718197709,0.0,0.0,0.0,56.64123785335689,0.0,0.0,0.0,0.0
2020-01-01 02:30:00,112.44078702180724,0.0,0.0,0.0,57.13137809187279,0.0,0.0,0.0,0.0
2020-01-01 02:45:00,107.02410335073375,0.0,0.0,0.0,57.5333292844523,0.0,0.0,0.0,0.0
2020-01-01 03:00:00,102.42,0.0,0.0,0.0,57.7,0.0,0.0,0.0,0.0
2020-01-01 03:15:00,98.84177892716453,0.0,0.0,0.0,57.304516152223925,0.0,0.0,0.0,0.0
2020-01-01 03:30:00,95.62573238592154,0.0,0.0,0.0,56.291209739263806,0.0,0.0,0.0,0.0
2020-01-01 03:45:00,92.58431965171778,0.0,0.0,0.0,54.91979845667178,0.0,0.0,0.0,0.0
2020-01-01 04:00:00,89.53,0.0,0.0,0.0,53.45,0.0,0.0,0.0,0.0
2020-01-01 04:15:00,86.51992229781955,10.542865193581257,58.23456614082062,20.178980454218685,51.692471855828224,0.5050105757221708,0.0,0.5265489449992291,0.0196875
